arm,run,event,site,onset,r0,rlag,tgt_peak,ach_peak,peak_ratio,ach_absmod,ach_max_raw,rmse
Choi,r2,19,D3,4163,0.5240891057476785,0.8022941492029182,0.000344954722,0.000907478966888,2.6307190741630144,0.000907478966888,0.00095162174,7.373713818009878e-05
Choi,r2,20,SHAM,4383,0.06334169967583779,0.09439172018181399,3.8326943999999994e-05,8.733658904800001e-05,2.2787256152747273,8.733658904800001e-05,0.000135757538,2.909755074020638e-05
Choi,r2,21,P2,4603,0.4701091238077175,0.831958557712767,0.000393803889,0.0009555781021160001,2.4265329236400714,0.0009555781021160001,0.000982402591,7.169615370153236e-05
Choi,r2,22,LP,4823,0.4456484581476235,0.824449477479503,0.0005547675,0.0009440512113160001,1.7017060504012944,0.0009440512113160001,0.000981685356,6.965968730439443e-05
Choi,r2,23,D2,5043,0.5891902051758156,0.8250058211181661,0.000360804722,0.0009747801280640001,2.7016833999861016,0.0009747801280640001,0.00100616098,7.130201038178297e-05
Choi,r2,24,D1,5263,0.5898135286315498,0.8730005880399899,0.00033995777800000003,0.0008745948069679999,2.572657146170663,0.0008745948069679999,0.000911962357,6.894401564716627e-05
Choi,r2,25,P2,5483,0.4003732822031199,0.7455225770462415,0.000393803889,0.0006589058482479999,1.6731826847144213,0.0006589058482479999,0.000736094546,5.449373098145271e-05
Choi,r2,26,D2,5703,0.5524896336247042,0.8988225779752431,0.000360804722,0.000927225855148,2.569882816411699,0.000927225855148,0.000954784802,6.339624516000963e-05
Choi,r2,27,LP,5923,0.42900249944475494,0.7741924956845283,0.0005547675,0.0009581133959960001,1.727053938804995,0.0009581133959960001,0.00100043998,7.290058041398045e-05
Choi,r2,28,D3,6143,0.49145947778432303,0.8239555138421591,0.000344954722,0.000838479529416,2.4306944533317623,0.000838479529416,0.000885356218,6.306981809575976e-05
Choi,r2,29,D1,6363,0.5437928527902783,0.7271912965086906,0.00033995777800000003,0.000934103302012,2.7477038693081464,0.000934103302012,0.000974695373,7.78201824225373e-05
Choi,r2,30,SHAM,6583,0.05036934817537251,-0.01440377390862097,3.8326943999999994e-05,0.00014757653697999997,3.8504644925512452,0.00014757653697999997,0.000194634369,3.3330401788269296e-05
Choi,r2,31,D1,6803,0.5454861407206685,0.7601084120897483,0.00033995777800000003,0.00062460565818,1.8373036259226283,0.00062460565818,0.000662145205,4.7269049572975774e-05
