tick,u1,u2,u3,u4,u5,u6,u7,u8
356,30,0,0,10,0,0,0,0
357,30,0,0,10,0,0,0,0
358,30,0,0,10,0,0,0,0
359,30,0,0,10,0,0,0,0
360,30,0,0,10,0,0,0,0
361,30,0,0,10,0,0,0,0
362,30,0,0,10,0,0,0,0
363,30,0,0,10,0,0,0,0
364,30,0,0,10,0,0,0,0
365,30,0,0,10,0,0,0,0
366,30,0,0,10,0,0,0,0
367,30,0,0,10,0,0,0,0
368,30,0,0,10,0,0,0,0
369,30,0,0,10,0,0,0,0
370,30,0,0,10,0,0,0,0
371,10,0,0,10,0,0,0,0
372,10,0,0,10,0,0,0,0
373,10,0,0,10,0,0,0,0
374,10,0,0,10,0,0,0,0
375,10,0,0,10,0,0,0,0
376,10,0,0,30,0,0,0,0
377,10,0,0,30,0,0,0,0
378,10,0,0,30,0,0,0,0
379,10,0,0,30,0,0,0,0
380,10,0,0,30,0,0,0,0
381,30,0,0,30,0,0,0,0
382,30,0,0,30,0,0,0,0
383,30,0,0,30,0,0,0,0
384,30,0,0,30,0,0,0,0
385,30,0,0,30,0,0,0,0
386,30,0,0,10,0,0,0,0
387,30,0,0,10,0,0,0,0
388,30,0,0,10,0,0,0,0
389,30,0,0,10,0,0,0,0
390,30,0,0,10,0,0,0,0
391,10,0,0,10,0,0,0,0
392,10,0,0,10,0,0,0,0
393,10,0,0,10,0,0,0,0
394,10,0,0,10,0,0,0,0
395,10,0,0,10,0,0,0,0
396,30,0,0,10,0,0,0,0
397,30,0,0,10,0,0,0,0
398,30,0,0,10,0,0,0,0
399,30,0,0,10,0,0,0,0
400,30,0,0,10,0,0,0,0
401,30,0,0,30,0,0,0,0
402,30,0,0,30,0,0,0,0
403,30,0,0,30,0,0,0,0
404,30,0,0,30,0,0,0,0
405,30,0,0,30,0,0,0,0
406,10,0,0,30,0,0,0,0
407,10,0,0,30,0,0,0,0
408,10,0,0,30,0,0,0,0
409,10,0,0,30,0,0,0,0
410,10,0,0,30,0,0,0,0
411,10,0,0,10,0,0,0,0
412,10,0,0,10,0,0,0,0
413,10,0,0,10,0,0,0,0
414,10,0,0,10,0,0,0,0
415,10,0,0,10,0,0,0,0
416,10,0,0,10,0,0,0,0
417,10,0,0,10,0,0,0,0
418,10,0,0,10,0,0,0,0
419,10,0,0,10,0,0,0,0
420,10,0,0,10,0,0,0,0
421,30,0,0,30,0,0,0,0
422,30,0,0,30,0,0,0,0
423,30,0,0,30,0,0,0,0
424,30,0,0,30,0,0,0,0
425,30,0,0,30,0,0,0,0
426,10,0,0,10,0,0,0,0
427,10,0,0,10,0,0,0,0
428,10,0,0,10,0,0,0,0
429,10,0,0,10,0,0,0,0
430,10,0,0,10,0,0,0,0
431,30,0,0,30,0,0,0,0
432,30,0,0,30,0,0,0,0
433,30,0,0,30,0,0,0,0
434,30,0,0,30,0,0,0,0
435,30,0,0,30,0,0,0,0
436,10,0,0,10,0,0,0,0
437,10,0,0,10,0,0,0,0
438,10,0,0,10,0,0,0,0
439,10,0,0,10,0,0,0,0
440,10,0,0,10,0,0,0,0
441,30,0,0,10,0,0,0,0
442,30,0,0,10,0,0,0,0
443,30,0,0,10,0,0,0,0
444,30,0,0,10,0,0,0,0
445,30,0,0,10,0,0,0,0
446,10,0,0,10,0,0,0,0
447,10,0,0,10,0,0,0,0
448,10,0,0,10,0,0,0,0
449,10,0,0,10,0,0,0,0
450,10,0,0,10,0,0,0,0
451,10,0,0,30,0,0,0,0
452,10,0,0,30,0,0,0,0
453,10,0,0,30,0,0,0,0
454,10,0,0,30,0,0,0,0
455,10,0,0,30,0,0,0,0
456,30,0,0,30,0,0,0,0
457,30,0,0,30,0,0,0,0
458,30,0,0,30,0,0,0,0
459,30,0,0,30,0,0,0,0
460,30,0,0,30,0,0,0,0
461,10,0,0,10,0,0,0,0
462,10,0,0,10,0,0,0,0
463,10,0,0,10,0,0,0,0
464,10,0,0,10,0,0,0,0
465,10,0,0,10,0,0,0,0
466,10,0,0,30,0,0,0,0
467,10,0,0,30,0,0,0,0
468,10,0,0,30,0,0,0,0
469,10,0,0,30,0,0,0,0
470,10,0,0,30,0,0,0,0
471,10,0,0,10,0,0,0,0
472,10,0,0,10,0,0,0,0
473,10,0,0,10,0,0,0,0
474,10,0,0,10,0,0,0,0
475,10,0,0,10,0,0,0,0
476,30,0,0,10,0,0,0,0
477,30,0,0,10,0,0,0,0
478,30,0,0,10,0,0,0,0
479,30,0,0,10,0,0,0,0
480,30,0,0,10,0,0,0,0
481,30,0,0,30,0,0,0,0
482,30,0,0,30,0,0,0,0
483,30,0,0,30,0,0,0,0
484,30,0,0,30,0,0,0,0
485,30,0,0,30,0,0,0,0
486,30,0,0,10,0,0,0,0
487,30,0,0,10,0,0,0,0
488,30,0,0,10,0,0,0,0
489,30,0,0,10,0,0,0,0
490,30,0,0,10,0,0,0,0
491,10,0,0,30,0,0,0,0
492,10,0,0,30,0,0,0,0
493,10,0,0,30,0,0,0,0
494,10,0,0,30,0,0,0,0
495,10,0,0,30,0,0,0,0
496,10,0,0,30,0,0,0,0
497,10,0,0,30,0,0,0,0
498,10,0,0,30,0,0,0,0
499,10,0,0,30,0,0,0,0
500,10,0,0,30,0,0,0,0
501,10,0,0,30,0,0,0,0
502,10,0,0,30,0,0,0,0
503,10,0,0,30,0,0,0,0
504,10,0,0,30,0,0,0,0
505,10,0,0,30,0,0,0,0
506,30,0,0,30,0,0,0,0
507,30,0,0,30,0,0,0,0
508,30,0,0,30,0,0,0,0
509,30,0,0,30,0,0,0,0
510,30,0,0,30,0,0,0,0
511,30,0,0,30,0,0,0,0
512,30,0,0,30,0,0,0,0
513,30,0,0,30,0,0,0,0
514,30,0,0,30,0,0,0,0
515,30,0,0,30,0,0,0,0
516,10,0,0,30,0,0,0,0
517,10,0,0,30,0,0,0,0
518,10,0,0,30,0,0,0,0
519,10,0,0,30,0,0,0,0
520,10,0,0,30,0,0,0,0
521,30,0,0,30,0,0,0,0
522,30,0,0,30,0,0,0,0
523,30,0,0,30,0,0,0,0
524,30,0,0,30,0,0,0,0
525,30,0,0,30,0,0,0,0
526,30,0,0,10,0,0,0,0
527,30,0,0,10,0,0,0,0
528,30,0,0,10,0,0,0,0
