tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,y1,y2,y3,y4,y5,y6,y7,y8
86,86,710.3027,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
87,87,710.3294,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
88,88,710.3564,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
89,89,710.3826,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
90,90,710.4174,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
91,91,710.4443,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
92,92,710.4707,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
93,93,710.4973,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
94,94,710.5252,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
95,95,710.551,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
96,96,710.5775,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
97,97,710.6039,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
98,98,710.6307,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
99,99,710.6567,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
100,100,710.6832,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
101,101,710.7752,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
102,102,710.8017,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
103,103,710.8379,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
104,104,710.8659,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
105,105,710.9007,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
106,106,710.9225,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
107,107,710.9486,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
108,108,710.9749,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
109,109,711.0016,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
110,110,711.0289,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
111,111,711.0638,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
112,112,711.0908,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
113,113,711.1176,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
114,114,711.1441,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
115,115,711.1721,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
116,116,711.1994,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
117,117,711.2285,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
118,118,711.2566,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
119,119,711.2831,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
120,120,711.3105,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
121,121,711.3438,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
122,122,711.3705,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
123,123,711.3971,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
124,124,711.4296,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
125,125,711.4564,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
126,126,711.4829,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
127,127,711.5094,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
128,128,711.5359,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
129,129,711.5627,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
130,130,711.5946,20.074713,0,0,20.5855346,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
131,131,711.6341,20.0756189,0,0,20.5871588,0,0,0,0,4.26737934e-05,-1.04332803e-05,0,0,0,0,0,0
132,132,711.6729,20.0771166,0,0,20.5898697,0,0,0,0,4.26741572e-05,-1.04326109e-05,0,0,0,0,0,0
133,133,711.7121,20.079493,0,0,20.594199,0,0,0,0,4.26748011e-05,-1.04311439e-05,0,0,0,0,0,0
134,134,711.7544,20.0823023,0,0,20.5994404,0,0,0,0,4.26775077e-05,-1.04286046e-05,0,0,0,0,0,0
135,135,711.7902,20.0856261,0,0,20.6056858,0,0,0,0,4.26811021e-05,-1.04251785e-05,0,0,0,0,0,0
136,136,711.8278,20.0894738,0,0,20.6127751,0,0,0,0,4.26859697e-05,-1.04209075e-05,0,0,0,0,0,0
137,137,711.8652,20.0941088,0,0,20.6211675,0,0,0,0,4.26905899e-05,-1.04158098e-05,0,0,0,0,0,0
138,138,711.9008,20.0999974,0,0,20.6320335,0,0,0,0,4.26955448e-05,-1.04096962e-05,0,0,0,0,0,0
139,139,711.9397,20.1085605,0,0,20.6491671,0,0,0,0,4.27009509e-05,-1.0402121e-05,0,0,0,0,0,0
140,140,711.9803,20.1203433,0,0,20.6738857,0,0,0,0,4.2708285e-05,-1.03917955e-05,0,0,0,0,0,0
141,141,712.0554,20.1354577,0,0,20.7065197,0,0,0,0,4.27184241e-05,-1.03776283e-05,0,0,0,0,0,0
142,142,712.0974,20.1504805,0,0,20.7386328,0,0,0,0,4.27337618e-05,-1.03589655e-05,0,0,0,0,0,0
143,143,712.1363,20.1693795,0,0,20.7846035,0,0,0,0,4.27527993e-05,-1.03379989e-05,0,0,0,0,0,0
144,144,712.1727,20.1998407,0,0,20.8727013,0,0,0,0,4.27761261e-05,-1.03129869e-05,0,0,0,0,0,0
145,145,712.2085,20.273561,0,0,21.1032968,0,0,0,0,4.27993255e-05,-1.02772947e-05,0,0,0,0,0,0
146,146,712.2445,20.3944042,0,0,21.5094439,0,0,0,0,4.28440399e-05,-1.02039367e-05,0,0,0,0,0,0
147,147,712.2804,20.5885342,0,0,22.2038145,0,0,0,0,4.29267457e-05,-1.00755942e-05,0,0,0,0,0,0
148,148,712.3163,20.821027,0,0,23.1360817,0,0,0,0,4.31147637e-05,-9.86391842e-06,0,0,0,0,0,0
149,149,712.3519,21.3360739,0,0,24.9001803,0,0,0,0,4.33819696e-05,-9.57970133e-06,0,0,0,0,0,0
150,150,712.3897,22.4029033,0,0,27.3446196,0,0,0,0,4.38549541e-05,-9.04873468e-06,0,0,0,0,0,0
