tick,u1,u2,u3,u4,u5,u6,u7,u8
286,30,0.0,0.0,30,0.0,0.0,0.0,0.0
287,30,0.0,0.0,30,0.0,0.0,0.0,0.0
288,30,0.0,0.0,30,0.0,0.0,0.0,0.0
289,30,0.0,0.0,30,0.0,0.0,0.0,0.0
290,30,0.0,0.0,30,0.0,0.0,0.0,0.0
291,10,0.0,0.0,10,0.0,0.0,0.0,0.0
292,10,0.0,0.0,10,0.0,0.0,0.0,0.0
293,10,0.0,0.0,10,0.0,0.0,0.0,0.0
294,10,0.0,0.0,10,0.0,0.0,0.0,0.0
295,10,0.0,0.0,10,0.0,0.0,0.0,0.0
296,30,0.0,0.0,30,0.0,0.0,0.0,0.0
297,30,0.0,0.0,30,0.0,0.0,0.0,0.0
298,30,0.0,0.0,30,0.0,0.0,0.0,0.0
299,30,0.0,0.0,30,0.0,0.0,0.0,0.0
300,30,0.0,0.0,30,0.0,0.0,0.0,0.0
301,10,0.0,0.0,10,0.0,0.0,0.0,0.0
302,10,0.0,0.0,10,0.0,0.0,0.0,0.0
303,10,0.0,0.0,10,0.0,0.0,0.0,0.0
304,10,0.0,0.0,10,0.0,0.0,0.0,0.0
305,10,0.0,0.0,10,0.0,0.0,0.0,0.0
306,10,0.0,0.0,10,0.0,0.0,0.0,0.0
307,10,0.0,0.0,10,0.0,0.0,0.0,0.0
308,10,0.0,0.0,10,0.0,0.0,0.0,0.0
309,10,0.0,0.0,10,0.0,0.0,0.0,0.0
310,10,0.0,0.0,10,0.0,0.0,0.0,0.0
311,10,0.0,0.0,30,0.0,0.0,0.0,0.0
312,10,0.0,0.0,30,0.0,0.0,0.0,0.0
313,10,0.0,0.0,30,0.0,0.0,0.0,0.0
314,10,0.0,0.0,30,0.0,0.0,0.0,0.0
315,10,0.0,0.0,30,0.0,0.0,0.0,0.0
316,30,0.0,0.0,30,0.0,0.0,0.0,0.0
317,30,0.0,0.0,30,0.0,0.0,0.0,0.0
318,30,0.0,0.0,30,0.0,0.0,0.0,0.0
319,30,0.0,0.0,30,0.0,0.0,0.0,0.0
320,30,0.0,0.0,30,0.0,0.0,0.0,0.0
321,30,0.0,0.0,10,0.0,0.0,0.0,0.0
322,30,0.0,0.0,10,0.0,0.0,0.0,0.0
323,30,0.0,0.0,10,0.0,0.0,0.0,0.0
324,30,0.0,0.0,10,0.0,0.0,0.0,0.0
325,30,0.0,0.0,10,0.0,0.0,0.0,0.0
326,30,0.0,0.0,10,0.0,0.0,0.0,0.0
327,30,0.0,0.0,10,0.0,0.0,0.0,0.0
328,30,0.0,0.0,10,0.0,0.0,0.0,0.0
329,30,0.0,0.0,10,0.0,0.0,0.0,0.0
330,30,0.0,0.0,10,0.0,0.0,0.0,0.0
331,30,0.0,0.0,30,0.0,0.0,0.0,0.0
332,30,0.0,0.0,30,0.0,0.0,0.0,0.0
333,30,0.0,0.0,30,0.0,0.0,0.0,0.0
334,30,0.0,0.0,30,0.0,0.0,0.0,0.0
335,30,0.0,0.0,30,0.0,0.0,0.0,0.0
336,10,0.0,0.0,30,0.0,0.0,0.0,0.0
337,10,0.0,0.0,30,0.0,0.0,0.0,0.0
338,10,0.0,0.0,30,0.0,0.0,0.0,0.0
339,10,0.0,0.0,30,0.0,0.0,0.0,0.0
340,10,0.0,0.0,30,0.0,0.0,0.0,0.0
341,10,0.0,0.0,10,0.0,0.0,0.0,0.0
342,10,0.0,0.0,10,0.0,0.0,0.0,0.0
343,10,0.0,0.0,10,0.0,0.0,0.0,0.0
344,10,0.0,0.0,10,0.0,0.0,0.0,0.0
345,10,0.0,0.0,10,0.0,0.0,0.0,0.0
346,30,0.0,0.0,10,0.0,0.0,0.0,0.0
347,30,0.0,0.0,10,0.0,0.0,0.0,0.0
348,30,0.0,0.0,10,0.0,0.0,0.0,0.0
349,30,0.0,0.0,10,0.0,0.0,0.0,0.0
350,30,0.0,0.0,10,0.0,0.0,0.0,0.0
351,30,0.0,0.0,10,0.0,0.0,0.0,0.0
352,30,0.0,0.0,10,0.0,0.0,0.0,0.0
353,30,0.0,0.0,10,0.0,0.0,0.0,0.0
354,30,0.0,0.0,10,0.0,0.0,0.0,0.0
355,30,0.0,0.0,10,0.0,0.0,0.0,0.0
356,30,0.0,0.0,10,0.0,0.0,0.0,0.0
357,30,0.0,0.0,10,0.0,0.0,0.0,0.0
358,30,0.0,0.0,10,0.0,0.0,0.0,0.0
359,30,0.0,0.0,10,0.0,0.0,0.0,0.0
360,30,0.0,0.0,10,0.0,0.0,0.0,0.0
361,30,0.0,0.0,10,0.0,0.0,0.0,0.0
362,30,0.0,0.0,10,0.0,0.0,0.0,0.0
363,30,0.0,0.0,10,0.0,0.0,0.0,0.0
364,30,0.0,0.0,10,0.0,0.0,0.0,0.0
365,30,0.0,0.0,10,0.0,0.0,0.0,0.0
366,30,0.0,0.0,10,0.0,0.0,0.0,0.0
367,30,0.0,0.0,10,0.0,0.0,0.0,0.0
368,30,0.0,0.0,10,0.0,0.0,0.0,0.0
369,30,0.0,0.0,10,0.0,0.0,0.0,0.0
370,30,0.0,0.0,10,0.0,0.0,0.0,0.0
371,10,0.0,0.0,10,0.0,0.0,0.0,0.0
372,10,0.0,0.0,10,0.0,0.0,0.0,0.0
373,10,0.0,0.0,10,0.0,0.0,0.0,0.0
374,10,0.0,0.0,10,0.0,0.0,0.0,0.0
375,10,0.0,0.0,10,0.0,0.0,0.0,0.0
376,10,0.0,0.0,30,0.0,0.0,0.0,0.0
377,10,0.0,0.0,30,0.0,0.0,0.0,0.0
378,10,0.0,0.0,30,0.0,0.0,0.0,0.0
379,10,0.0,0.0,30,0.0,0.0,0.0,0.0
380,10,0.0,0.0,30,0.0,0.0,0.0,0.0
381,30,0.0,0.0,30,0.0,0.0,0.0,0.0
382,30,0.0,0.0,30,0.0,0.0,0.0,0.0
383,30,0.0,0.0,30,0.0,0.0,0.0,0.0
384,30,0.0,0.0,30,0.0,0.0,0.0,0.0
385,30,0.0,0.0,30,0.0,0.0,0.0,0.0
386,30,0.0,0.0,10,0.0,0.0,0.0,0.0
387,30,0.0,0.0,10,0.0,0.0,0.0,0.0
388,30,0.0,0.0,10,0.0,0.0,0.0,0.0
389,30,0.0,0.0,10,0.0,0.0,0.0,0.0
390,30,0.0,0.0,10,0.0,0.0,0.0,0.0
391,10,0.0,0.0,10,0.0,0.0,0.0,0.0
392,10,0.0,0.0,10,0.0,0.0,0.0,0.0
393,10,0.0,0.0,10,0.0,0.0,0.0,0.0
394,10,0.0,0.0,10,0.0,0.0,0.0,0.0
395,10,0.0,0.0,10,0.0,0.0,0.0,0.0
396,30,0.0,0.0,10,0.0,0.0,0.0,0.0
397,30,0.0,0.0,10,0.0,0.0,0.0,0.0
398,30,0.0,0.0,10,0.0,0.0,0.0,0.0
399,30,0.0,0.0,10,0.0,0.0,0.0,0.0
400,30,0.0,0.0,10,0.0,0.0,0.0,0.0
401,30,0.0,0.0,30,0.0,0.0,0.0,0.0
402,30,0.0,0.0,30,0.0,0.0,0.0,0.0
403,30,0.0,0.0,30,0.0,0.0,0.0,0.0
404,30,0.0,0.0,30,0.0,0.0,0.0,0.0
405,30,0.0,0.0,30,0.0,0.0,0.0,0.0
406,10,0.0,0.0,30,0.0,0.0,0.0,0.0
407,10,0.0,0.0,30,0.0,0.0,0.0,0.0
408,10,0.0,0.0,30,0.0,0.0,0.0,0.0
409,10,0.0,0.0,30,0.0,0.0,0.0,0.0
410,10,0.0,0.0,30,0.0,0.0,0.0,0.0
411,10,0.0,0.0,10,0.0,0.0,0.0,0.0
412,10,0.0,0.0,10,0.0,0.0,0.0,0.0
413,10,0.0,0.0,10,0.0,0.0,0.0,0.0
414,10,0.0,0.0,10,0.0,0.0,0.0,0.0
415,10,0.0,0.0,10,0.0,0.0,0.0,0.0
416,10,0.0,0.0,10,0.0,0.0,0.0,0.0
417,10,0.0,0.0,10,0.0,0.0,0.0,0.0
418,10,0.0,0.0,10,0.0,0.0,0.0,0.0
419,10,0.0,0.0,10,0.0,0.0,0.0,0.0
420,10,0.0,0.0,10,0.0,0.0,0.0,0.0
